011000 000170  .0765  .2664   .000 .00127
011000 000160 .01958  1.113   .000 .00497
011000 000161  .0454   .398   .000  .0000
011000 000080  .0864   .253   .000  .0044
011000 000061  .0277  .0411   .000  .0000
011000 000060  .0399  1.389   .000 .00440
011000 000051 -.0427   .089   .000  .0114
011000 000052  -.056  -.910   .000  .0000
011000 000053  -.110   -.40   .000  .0000
019000 000170 .04835  .2122   .000-.00084
019000 000160 .04995  .7793   .000  .0000
019000 000161 -.0003  .1735   .000   .000
019000 000080  .1298   .320   .000  .0041
019000 000061  .0296  -.013   .000-.00800
019000 000060  .1488   1.43   .000-.00150
019000 000051  .0350    .14   .000  .0000
019000 000052  -.130    .00   .000  .0000
019000 000053  -.022    .00   .000  .0000
020000 000170  .3159  1.614   .000-.00034
020000 000160    .20 3.1973 -54.24   .000
020000 000161  .2145  2.530   .000   .000
020000 000080 -.1747 -.2303  -5.72   .000
020000 000061   .400 2.9770   .000   .000
012000 000170 .35235 1.6815   .000 .00519
012000 000160  .2210  3.343 -37.23   .025
012000 000161  .4746  1.729   .000   .000
012000 000061   .329  .6072   .000    .00
012080 000170   -0.1  1.658   .000    .00
001000 000170  .1775  .2945   .000  .0008
001000 000160  .0298  .0000   .000  .0438
001000 000161  .2065  .5556   .000   .000
012051 000170  .1600  .0000   .000   .000
020051 000170  .1200  .0000   .000   .000
000000
