 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 5.2021    Time:  17:50:46
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
     2250  0.9500000E+02  0.10000E+00    4     7963    -4     1     T
     2277  0.9600000E+02  0.44489E-01    2     8493     4     1     T
     2285  0.9700000E+02  0.16055E+00    3     8516     4     1     T
     2313  0.9800000E+02  0.13298E+00    2     8608    -4     1     T
     2351  0.9900000E+02  0.52888E-01    3     8733    -4     1     T
     2374  0.1000000E+03  0.14300E+00    2     8785    -4     1     T
     2391  0.1010000E+03  0.96573E-01    3     9140     4     1     T
     2397  0.1020000E+03  0.19048E+00    3     9162     4     1     T
     2401  0.1030000E+03  0.25000E+00    3     9176     4     1     T
     2404  0.1040000E+03  0.33333E+00    3     9187     4     1     T
     2406  0.1050000E+03  0.50000E+00    4     9195     4     1     T
     2408  0.1060000E+03  0.50000E+00    4     9203     4     1     T
     2410  0.1070000E+03  0.50000E+00    4     9210     4     1     T
     2412  0.1080000E+03  0.50000E+00    4     9217     4     1     T
     2414  0.1090000E+03  0.50000E+00    3     9223     4     1     T
     2416  0.1100000E+03  0.50000E+00    3     9229     4     1     T
     2518  0.1110000E+03  0.17334E-01    4     9846    -4     1     T
     2548  0.1120000E+03  0.61071E-01    4     9965    -4     1     T
     2580  0.1130000E+03  0.14454E+00    3    10559     4     1     T
     2586  0.1140000E+03  0.19048E+00    4    10582     4     1     T
     2590  0.1150000E+03  0.41667E+00    5    10597     4     1     T
     2723  0.1160000E+03  0.11066E-01    4    11198    -4     1     T
     2789  0.1170000E+03  0.30601E-01    4    11446    -4     1     T
     2810  0.1180000E+03  0.61230E-01    4    11527    -4     1     T
     2842  0.1190000E+03  0.10851E+00    2    12020     4     1     T
     2847  0.1200000E+03  0.34286E+00    5    12039     4     1     T
     2851  0.1210000E+03  0.25000E+00    4    12055     4     1     T
     2954  0.1220000E+03  0.19145E-01    5    12522    -4     1     T
     3094  0.1230000E+03  0.76539E-02    5    13236    -4     1     T
     3211  0.1240000E+03  0.12778E-01    5    13806    -4     1     T
     3263  0.1250000E+03  0.33919E-01    3    14018    -4     1     T
     3315  0.1260000E+03  0.66612E-01    3    14224    -4     1     T
     3401  0.1270000E+03  0.18815E-01    4    14558    -4     1     T
     3447  0.1280000E+03  0.31108E-01    5    14747    -4     1     T
     3480  0.1290000E+03  0.30339E-01    3    14893    -4     1     T
     3534  0.1300000E+03  0.54388E-01    4    15098    -4     1     T
     3550  0.1310000E+03  0.69288E-01    4    15164    -4     1     T
     3620  0.1320000E+03  0.29077E-01    3    15438    -4     1     T
     3658  0.1330000E+03  0.49026E-01    3    15564    -4     1     T
     3701  0.1340000E+03  0.47874E-01    3    15714    -4     1     T
     3731  0.1350000E+03  0.65968E-01    4    15807    -4     1     T
     3746  0.1360000E+03  0.66729E-01    3    15866    -4     1     T
     3757  0.1370000E+03  0.10337E+00    4    15909    -4     1     T
     3823  0.1380000E+03  0.37862E-01    4    16167    -4     1     T
     3842  0.1390000E+03  0.80982E-01    3    16242    -4     1     T
     3851  0.1400000E+03  0.11111E+00    5    16280    -4     1     T
     3906  0.1410000E+03  0.88530E-01    5    16502    -4     1     T
     3931  0.1420000E+03  0.10412E+00    4    16568    -4     1     T
     3953  0.1430000E+03  0.26714E-01    2    17033     4     1     T
     3967  0.1440000E+03  0.12312E+00    4    17178     4     1     T
     4013  0.1450000E+03  0.63884E-01    4    17372    -4     1     T
     4039  0.1460000E+03  0.12498E+00    4    17761     4     1     T
     4101  0.1470000E+03  0.32170E-01    4    18023    -4     1     T
     4131  0.1480000E+03  0.68828E-01    5    18121    -4     1     T
     4161  0.1490000E+03  0.65022E-01    4    18530     4     1     T
     4282  0.1500000E+03  0.11223E-01    4    19076    -4     1     T
     4364  0.1510000E+03  0.14722E-01    5    19424    -4     1     T
     4426  0.1520000E+03  0.20156E-01    3    19687    -4     1     T
     4456  0.1530000E+03  0.43117E-01    4    19812    -4     1     T
     4488  0.1540000E+03  0.77479E-01    4    20260     4     1     T
     4500  0.1550000E+03  0.90965E-01    4    20307     4     1     T
     4511  0.1560000E+03  0.90494E-01    4    20351     4     1     T
     4520  0.1570000E+03  0.13574E+00    5    20392     4     1     T
     4607  0.1580000E+03  0.36764E-01    6    20799    -4     1     T
     4652  0.1590000E+03  0.42878E-01    2    21448     4     1     T
     4697  0.1600000E+03  0.66973E-01    3    21618    -4     1     T
     4722  0.1610000E+03  0.10088E+00    3    22001     4     1     T
     4962  0.1620000E+03  0.50730E-02    5    23100    -4     1     T
     5083  0.1630000E+03  0.15521E-01    3    23617    -4     1     T
     5140  0.1640000E+03  0.18708E-01    3    24294     4     1     T
     5163  0.1650000E+03  0.49136E-01    4    24387     4     1     T
     5196  0.1660000E+03  0.69369E-01    4    24503    -4     1     T
     5206  0.1670000E+03  0.16261E+00    4    24620     4     1     T
     5212  0.1680000E+03  0.19048E+00    4    24643     4     1     T
     5217  0.1690000E+03  0.20000E+00    4    24663     4     1     T
     5222  0.1700000E+03  0.20000E+00    4    24683     4     1     T
     5227  0.1710000E+03  0.20000E+00    4    24703     4     1     T
     5232  0.1720000E+03  0.20000E+00    4    24723     4     1     T
     5237  0.1730000E+03  0.20000E+00    4    24743     4     1     T
     5242  0.1740000E+03  0.20000E+00    4    24763     4     1     T
     5246  0.1750000E+03  0.30000E+00    5    24780     4     1     T
     5250  0.1760000E+03  0.25000E+00    4    24796     4     1     T
     5254  0.1770000E+03  0.25000E+00    4    24812     4     1     T
     5258  0.1780000E+03  0.25000E+00    4    24828     4     1     T
     5262  0.1790000E+03  0.25000E+00    4    24844     4     1     T
     5266  0.1800000E+03  0.25000E+00    4    24860     4     1     T
     5270  0.1810000E+03  0.25000E+00    4    24876     4     1     T
     5274  0.1820000E+03  0.25000E+00    3    24890     4     1     T
     5277  0.1830000E+03  0.33333E+00    5    24904     4     1     T
     5280  0.1840000E+03  0.33333E+00    4    24918     4     1     T
     5283  0.1850000E+03  0.33333E+00    4    24930     4     1     T
     5286  0.1860000E+03  0.33333E+00    4    24942     4     1     T
     5471  0.1870000E+03  0.87864E-02    5    25790    -4     1     T
     5551  0.1880000E+03  0.24547E-01    4    26140    -4     1     T
     5596  0.1890000E+03  0.64675E-01    3    26792     4     1     T
     5603  0.1900000E+03  0.22170E+00    4    26817     4     1     T
     5608  0.1910000E+03  0.20000E+00    4    26837     4     1     T
     5613  0.1920000E+03  0.20000E+00    3    26854     4     1     T
     5616  0.1930000E+03  0.33333E+00    4    26866     4     1     T
     5619  0.1940000E+03  0.33333E+00    3    26875     4     1     T
     5621  0.1950000E+03  0.50000E+00    5    26885     4     1     T
     5623  0.1960000E+03  0.50000E+00    5    26895     4     1     T
     5625  0.1970000E+03  0.50000E+00    4    26904     4     1     T
     5627  0.1980000E+03  0.50000E+00    4    26912     4     1     T
     5629  0.1990000E+03  0.50000E+00    4    26920     4     1     T
     5631  0.2000000E+03  0.50000E+00    4    26928     4     1     T
     5633  0.2010000E+03  0.50000E+00    4    26936     4     1     T
     5635  0.2020000E+03  0.50000E+00    4    26944     4     1     T
     5737  0.2030000E+03  0.20441E-01    4    27400    -4     1     T
     5839  0.2040000E+03  0.95937E-02    5    27888    -4     1     T
     6256  0.2050000E+03  0.27255E-02    5    29899    -4     1     T
