 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  276      1.65     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  277      1.66     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  278      1.66     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  279      1.67     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  280      1.67     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  281      1.68     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  282      1.69     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  283      1.69     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  284      1.70     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  285      1.70     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  286      1.71     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  287      1.72     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  288      1.72     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  289      1.73     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  290      1.73     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  291      1.74     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  292      1.75     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  293      1.75     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  294      1.76     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  295      1.76     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  296      1.77     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  297      1.78     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  298      1.78     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  299      1.79     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  300      1.79     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  301      1.80     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  302      1.81     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  303      1.81     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  304      1.82     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  305      1.82     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  306      1.83     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  307      1.84     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  308      1.84     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  309      1.85     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  310      1.85     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  311      1.86     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  312      1.87     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  313      1.87     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  314      1.88     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  315      1.88     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  316      1.89     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  317      1.90     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  318      1.90     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  319      1.91     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  320      1.91     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  321      1.92     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  322      1.93     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  323      1.93     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  324      1.94     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  325      1.94     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  326      1.95     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  327      1.96     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  328      1.96     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  329      1.97     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  330      1.97     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  331      1.98     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  332      1.99     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  333      1.99     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  334      2.00     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  335      2.00     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  336      2.01     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  337      2.02     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  338      2.02     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  339      2.03     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  340      2.03     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  341      2.04     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  342      2.05     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  343      2.05     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  344      2.06     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  345      2.06     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  346      2.07     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  347      2.08     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  348      2.08     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  349      2.09     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  350      2.09     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  351      2.10     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  352      2.11     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  353      2.11     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  354      2.12     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  355      2.12     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  356      2.13     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  357      2.14     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  358      2.14     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  359      2.15     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  360      2.15     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  361      2.16     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  362      2.17     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  363      2.17     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  364      2.18     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  365      2.18     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  366      2.19     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  367      2.20     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  368      2.20     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  369      2.21     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  370      2.21     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  371      2.22     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  372      2.23     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  373      2.23     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  374      2.24     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  375      2.24     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  376      2.25     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  377      2.26     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  378      2.26     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  379      2.27     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  380      2.27     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  381      2.28     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  382      2.29     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  383      2.29     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  384      2.30     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  385      2.30     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  386      2.31     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  387      2.32     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  388      2.32     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  389      2.33     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  390      2.33     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  391      2.34     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  392      2.35     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  393      2.35     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  394      2.36     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  395      2.36     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  396      2.37     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  397      2.38     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  398      2.38     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  399      2.39     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  400      2.39     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  401      2.40     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  402      2.41     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  403      2.41     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  404      2.42     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  405      2.42     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  406      2.43     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  407      2.44     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  408      2.44     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  409      2.45     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  410      2.45     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  411      2.46     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  412      2.47     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  413      2.47     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  414      2.48     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  415      2.48     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  416      2.49     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  417      2.50     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  418      2.50     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  419      2.51     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  420      2.51     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  421      2.52     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  422      2.53     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  423      2.53     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  424      2.54     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  425      2.54     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  426      2.55     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  427      2.56     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  428      2.56     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  429      2.57     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  430      2.57     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  431      2.58     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  432      2.59     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  433      2.59     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  434      2.60     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  435      2.60     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  436      2.61     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  437      2.62     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  438      2.62     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  439      2.63     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  440      2.63     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  441      2.64     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  442      2.65     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  443      2.65     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  444      2.66     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  445      2.66     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  446      2.67     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  447      2.68     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  448      2.68     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  449      2.69     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  450      2.69     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  451      2.70     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  452      2.71     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  453      2.71     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  454      2.72     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  455      2.72     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  456      2.73     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  457      2.74     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  458      2.74     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  459      2.75     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  460      2.75     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  461      2.76     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  462      2.77     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  463      2.77     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  464      2.78     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  465      2.78     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  466      2.79     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  467      2.80     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  468      2.80     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  469      2.81     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  470      2.81     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  471      2.82     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  472      2.83     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  473      2.83     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  474      2.84     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  475      2.84     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  476      2.85     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  477      2.86     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  478      2.86     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  479      2.87     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  480      2.87     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  481      2.88     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  482      2.89     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  483      2.89     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  484      2.90     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  485      2.90     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  486      2.91     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  487      2.92     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  488      2.92     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  489      2.93     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  490      2.93     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  491      2.94     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  492      2.95     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  493      2.95     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  494      2.96     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  495      2.96     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  496      2.97     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  497      2.98     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  498      2.98     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  499      2.99     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  500      2.99     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  501      3.00     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  502      3.01     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  503      3.01     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  504      3.02     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  505      3.02     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  506      3.03     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  507      3.04     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  508      3.04     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  509      3.05     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  510      3.05     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  511      3.06     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  512      3.07     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  513      3.07     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  514      3.08     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  515      3.08     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  516      3.09     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  517      3.10     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  518      3.10     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  519      3.11     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  520      3.11     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  521      3.12     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  522      3.13     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  523      3.13     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  524      3.14     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  525      3.14     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  526      3.15     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  527      3.16     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  528      3.16     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  529      3.17     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  530      3.17     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  531      3.18     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  532      3.19     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  533      3.19     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  534      3.20     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  535      3.20     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  536      3.21     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  537      3.22     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  538      3.22     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  539      3.23     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  540      3.23     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  541      3.24     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  542      3.25     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  543      3.25     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  544      3.26     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  545      3.26     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  546      3.27     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  547      3.28     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  548      3.28     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  549      3.29     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  550      3.29     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  551      3.30     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  552      3.31     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  553      3.31     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  554      3.32     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  555      3.32     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  556      3.33     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  557      3.34     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  558      3.34     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  559      3.35     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  560      3.35     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  561      3.36     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  562      3.37     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  563      3.37     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  564      3.38     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  565      3.38     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  566      3.39     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  567      3.40     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  568      3.40     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  569      3.41     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  570      3.41     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
