Pcp_File_Version=4
    2
    1  0.000000e+000  1.000000e+000  1.000000e+000
    2 -6.000000e+000  1.000000e+000  1.000000e+000
 1001    0    0    1 x         h      Mat  Lay      Beta           Axz            Bxz            Dxz          Temp          Conc 
    1 -0.000000e+000 -1.000000e+000    1    1  1.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    2 -6.000000e-003 -9.990000e-001    1    1  9.880952e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    3 -1.200000e-002 -9.980000e-001    1    1  9.761904e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    4 -1.800000e-002 -9.970000e-001    1    1  9.642857e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    5 -2.400000e-002 -9.960000e-001    1    1  9.523810e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    6 -3.000000e-002 -9.950000e-001    1    1  9.404762e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    7 -3.600000e-002 -9.940000e-001    1    1  9.285714e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    8 -4.200000e-002 -9.930000e-001    1    1  9.166667e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    9 -4.800000e-002 -9.920000e-001    1    1  9.047619e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   10 -5.400000e-002 -9.910000e-001    1    1  8.928571e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   11 -6.000000e-002 -9.900000e-001    1    1  8.809524e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   12 -6.600000e-002 -9.890000e-001    1    1  8.690476e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   13 -7.200000e-002 -9.880000e-001    1    1  8.571429e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   14 -7.800000e-002 -9.870000e-001    1    1  8.452381e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   15 -8.400000e-002 -9.860000e-001    1    1  8.333333e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   16 -9.000000e-002 -9.850000e-001    1    1  8.214286e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   17 -9.600000e-002 -9.840000e-001    1    1  8.095238e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   18 -1.020000e-001 -9.830000e-001    1    1  7.976190e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   19 -1.080000e-001 -9.820000e-001    1    1  7.857143e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   20 -1.140000e-001 -9.810000e-001    1    1  7.738096e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   21 -1.200000e-001 -9.800000e-001    1    1  7.619048e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   22 -1.260000e-001 -9.790000e-001    1    1  7.500000e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   23 -1.320000e-001 -9.780000e-001    1    1  7.380952e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   24 -1.380000e-001 -9.770000e-001    1    1  7.261905e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   25 -1.440000e-001 -9.760000e-001    1    1  7.142857e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   26 -1.500000e-001 -9.750000e-001    1    1  7.023810e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   27 -1.560000e-001 -9.740000e-001    1    1  6.904762e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   28 -1.620000e-001 -9.730000e-001    1    1  6.785714e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   29 -1.680000e-001 -9.720000e-001    1    1  6.666667e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   30 -1.740000e-001 -9.710000e-001    1    1  6.547619e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   31 -1.800000e-001 -9.700000e-001    1    1  6.428571e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   32 -1.860000e-001 -9.690000e-001    1    1  6.309524e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   33 -1.920000e-001 -9.680000e-001    1    1  6.190476e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   34 -1.980000e-001 -9.670000e-001    1    1  6.071429e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   35 -2.040000e-001 -9.660000e-001    1    1  5.952381e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   36 -2.100000e-001 -9.650000e-001    1    1  5.833333e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   37 -2.160000e-001 -9.640000e-001    1    1  5.714286e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   38 -2.220000e-001 -9.630000e-001    1    1  5.595238e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   39 -2.280000e-001 -9.620000e-001    1    1  5.476190e-001  1.000000e+000  1.000000e+000  1.000000e+000              
